TransactionID,AccountNumber,Timestamp,Amount,MerchantName,City,Category,Channel,CustomerAge,CustomerOccupation,IsFraud
TXN-000000,ACCT-1128,2025-03-04 09:37:39,17.5,DoorDash,Denver,Education,Online,21,Engineer,0
TXN-000001,ACCT-1117,2025-05-13 12:00:19,232.99,Zara,Houston,Groceries,Online,56,Teacher,0
TXN-000002,ACCT-1185,2025-10-20 13:34:16,115.74,CVS Pharmacy,New York,Education,In-Store,58,Lawyer,0
TXN-000003,ACCT-1049,2025-06-10 08:49:51,246.31,Trader Joes,Los Angeles,Education,Mobile App,48,Accountant,0
TXN-000004,ACCT-1194,2025-04-25 12:17:51,178.07,Zara,Seattle,Education,Online,84,Lawyer,0
TXN-000005,ACCT-1109,2025-10-21 09:13:49,86.05,Shell Gas,Nashville,Education,In-Store,42,Student,0
TXN-000006,ACCT-1020,2025-04-30 12:47:53,111.94,Walgreens,Detroit,Transportation,Online,36,Engineer,0
TXN-000007,ACCT-1071,2025-05-25 10:13:15,29.84,Costco,Nashville,Shopping,Mobile App,42,Analyst,0
TXN-000008,ACCT-1069,2025-12-02 12:37:36,42.44,Kroger,Dallas,Entertainment,In-Store,32,Manager,0
TXN-000009,ACCT-1100,2025-08-19 17:07:52,125.91,Marriott,Phoenix,Personal Care,ATM,80,Manager,0
TXN-000010,ACCT-1127,2025-09-01 11:18:11,88.14,Spotify,Philadelphia,Dining,Mobile App,32,Nurse,0
TXN-000011,ACCT-1120,2025-01-23 20:52:23,309.09,Nike,Philadelphia,Gas,Phone,54,Teacher,0
TXN-000012,ACCT-1160,2025-06-04 12:56:34,84.08,Grubhub,San Francisco,Gas,In-Store,40,Nurse,0
TXN-000013,ACCT-1194,2025-06-27 12:27:58,301.39,Walgreens,San Antonio,Utilities,Phone,84,Lawyer,0
TXN-000014,ACCT-1169,2025-08-03 08:05:14,48.01,Nike,Chicago,Utilities,Online,36,Designer,0
TXN-000015,ACCT-1072,2025-03-26 12:26:47,165.36,Whole Foods,San Francisco,Subscriptions,ATM,53,Analyst,0
TXN-000016,ACCT-1037,2025-07-20 10:50:34,29.69,Costco,Atlanta,Entertainment,Mobile App,18,Designer,0
TXN-000017,ACCT-1164,2025-02-27 17:31:20,239.65,Apple Store,Seattle,Education,ATM,36,Freelancer,0
TXN-000018,ACCT-1079,2025-09-28 19:51:25,171.88,United Airlines,Phoenix,Entertainment,Online,52,Retired,0
TXN-000019,ACCT-1085,2025-06-10 15:24:17,139.02,Hilton,Dallas,Healthcare,Online,38,Student,0
TXN-000020,ACCT-1113,2025-06-13 18:25:11,39.91,Netflix,Houston,Subscriptions,In-Store,41,Designer,0
TXN-000021,ACCT-1015,2025-05-17 21:08:46,116.4,Airbnb,Minneapolis,Gas,Online,43,Lawyer,0
TXN-000022,ACCT-1093,2025-12-29 08:07:41,43.15,Whole Foods,Boston,Gas,Online,41,Chef,0
TXN-000023,ACCT-1149,2025-02-06 17:09:00,771.7,Trader Joes,Los Angeles,Shopping,In-Store,41,Sales Rep,1
